State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date,District_Clean,Division,Market_Division
Punjab,Bhatinda,Rampuraphul(Nabha Mandi) APMC,Vegetables,Potato,Other,FAQ,500.0,600.0,550.0,Rs./Quintal,2021-02-03,Bhatinda,South,South_Rampuraphul(Nabha Mandi) APMC
Punjab,Mohali,Banur APMC,Vegetables,Potato,Other,FAQ,500.0,700.0,700.0,Rs./Quintal,2021-02-03,Mohali,East,East_Banur APMC
Punjab,Faridkot,Jaitu APMC,Vegetables,Potato,Potato,FAQ,600.0,600.0,600.0,Rs./Quintal,2021-02-03,Faridkot,West,West_Jaitu APMC
Punjab,Patiala,Dudhansadhan APMC,Vegetables,Potato,Other,FAQ,800.0,1000.0,900.0,Rs./Quintal,2021-02-03,Patiala,East,East_Dudhansadhan APMC
Punjab,Sangrur,Sunam APMC,Vegetables,Potato,Potato,FAQ,300.0,500.0,400.0,Rs./Quintal,2021-02-03,Sangrur,South,South_Sunam APMC
Punjab,Mohali,Lalru APMC,Vegetables,Potato,Other,FAQ,600.0,600.0,600.0,Rs./Quintal,2021-02-03,Mohali,East,East_Lalru APMC
Punjab,Gurdaspur,Dhariwal APMC,Vegetables,Potato,Other,FAQ,600.0,800.0,700.0,Rs./Quintal,2021-02-03,Gurdaspur,North,North_Dhariwal APMC
Punjab,Ludhiana,Khanna APMC,Vegetables,Potato,Other,FAQ,400.0,600.0,500.0,Rs./Quintal,2021-02-03,Ludhiana,East,East_Khanna APMC
Punjab,Bhatinda,Goniana APMC,Vegetables,Potato,Other,FAQ,900.0,1200.0,1100.0,Rs./Quintal,2021-02-03,Bhatinda,South,South_Goniana APMC
Punjab,Fazilka,Fazilka APMC,Vegetables,Potato,Other,FAQ,500.0,650.0,550.0,Rs./Quintal,2021-02-03,Fazilka,West,West_Fazilka APMC
Punjab,Jalandhar,Phillaur(Apra Mandi) APMC,Vegetables,Potato,Other,FAQ,900.0,1100.0,1000.0,Rs./Quintal,2021-02-03,Jalandhar,Central,Central_Phillaur(Apra Mandi) APMC
Punjab,Bhatinda,Maur APMC,Vegetables,Potato,Other,FAQ,700.0,850.0,800.0,Rs./Quintal,2021-02-03,Bhatinda,South,South_Maur APMC
